geneID	Control_1	Control_2	Control_3	DSS_1	DSS_2	DSS_3	ZnCA_1	ZnCA_2	ZnCA_3
ENSMUSG00000024451	14.85	7.49	8.84	23.58	17.05	13.55	8.17	10.02	6.84
ENSMUSG00000050071	9.87	11.62	18.7	5.44	3.91	4.14	3.87	4.96	3.73
ENSMUSG00000040899	4.44	2.88	0.9	9.98	5.09	4.63	2.02	3.14	1.69
ENSMUSG00000031875	29.33	24.3	21.71	59.83	45.94	52.44	35.65	44.71	30.4
ENSMUSG00000095975	2.93	3.6	6.26	1.27	3.47	0.44	0.65	0.26	2.39
ENSMUSG00000042265	0.05	0.03	0.07	7.9	0.95	1.87	1.48	1.33	0.22
ENSMUSG00000042817	0.75	1.23	1.23	4.22	5.06	4.23	5.43	2.36	2.26
ENSMUSG00000014776	2.66	2.02	2.16	5.41	4.54	4.03	2.86	3.33	2.8
ENSMUSG00000050232	0.39	0.55	0.59	2.55	1.34	3.22	2.26	3.53	1.36
ENSMUSG00000095079	1563.57	1111.69	881.27	2501.43	1500.81	2706.43	2858.16	3487.36	2730.11
ENSMUSG00000113965	0.99	2.14	1.33	0.76	0.6	0.47	0.08	0.52	0.33
ENSMUSG00000017723	383.54	336.08	299.66	80.84	216.73	96.99	140.59	64.21	338.93
ENSMUSG00000121400	0	0.18	0.35	23.47	37.14	55.44	6.58	0.08	0.84
ENSMUSG00000109635	3.26	3.59	4.4	0.54	1.09	1.16	1.05	2.74	1.97
ENSMUSG00000031264	2.1	2.67	2.33	10.68	5.61	6.9	4.91	4.75	3.6
ENSMUSG00000002204	4.26	6.93	5.86	30.73	16.94	19.55	15.14	10.26	8.75
ENSMUSG00000103133	2.49	2.79	1.76	1.38	1.31	1.3	0.27	0.82	0.77
ENSMUSG00000020131	5.69	3.8	6.38	1.66	2.9	1.47	2.16	1.69	2.64
ENSMUSG00000006784	1.56	2.58	1.29	0.39	0.32	0.79	0.44	0.43	0.69
ENSMUSG00000042462	30.34	33.35	29.23	29.74	17.86	14.86	39.17	56.41	27.04
ENSMUSG00000137898	13.43	18.18	15.53	212.21	98.57	92.43	48.89	45.06	31.6
ENSMUSG00000044258	9.91	8.51	9.99	53.4	31.01	27.44	28.5	82.18	16.22
ENSMUSG00000025004	8.77	5.05	8.88	0.06	1.56	1.16	3.57	0.6	4.24
ENSMUSG00000097222	10.95	13.16	14.93	6.13	8.17	5.26	6.88	7.62	4.76
ENSMUSG00000033880	93.56	69.69	57.63	187.04	151.05	189.17	172.21	180.56	144.95
ENSMUSG00000062410	22.73	23.79	18.15	19.23	13.05	2.63	37.73	146.16	38.88
ENSMUSG00000097494	7.28	5.42	6.96	3.23	1.6	1.39	2.43	4.83	1.24
ENSMUSG00000035878	4.05	3.66	5.11	1.78	1.88	1.02	1.23	1.82	1.37
ENSMUSG00000060224	11.13	8.8	8.33	4.64	5.57	2.35	3.24	4.94	3.53
ENSMUSG00000020186	345.4	353.89	418.11	224.91	83.22	54.58	260.48	292.31	250.28
ENSMUSG00000028076	11.69	11.2	16.13	27.83	14.11	24.29	22.94	14.18	8.95
ENSMUSG00000037035	1.22	0.92	0.79	6.75	5.36	3.19	3.03	2.92	1.79
ENSMUSG00000022864	2.65	2.61	2.5	6.47	5.88	6.79	4.29	2.18	3.44
ENSMUSG00000034422	26.53	16.04	18.75	28.57	37.28	88.74	44.84	21.33	46.89
ENSMUSG00000031165	2.86	2.82	2.04	16.06	10.08	12.23	7.51	7.08	4.76
ENSMUSG00000028532	39.34	32.25	26.53	15.06	28.51	11.9	9.6	14.38	16.53
ENSMUSG00000025746	0.09	0.12	0	2.54	1.13	3.32	22.66	4.48	0.62
ENSMUSG00000004366	22.85	24.21	16.44	55.46	37.08	39.1	29.39	47.61	32.22
ENSMUSG00000055866	11.46	12.25	6.88	7.52	9.96	5.63	2.01	2.91	5.45
ENSMUSG00000009097	1.96	0.58	1	1.89	4.3	2.22	0.58	0.27	1.32
